"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"72219013874","2024-01-01T00:52:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-15","7","30.10","32","43","0.00","","+0.01","8","65","SCT:04 220 BKN:07 250","30.10","29.00","10.00","38","230","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12401/01/24 00:52:02 METAR KATL 010552Z 23005KT 10SM SCT220 BKN250 06/00 A3010 RMK AO2 SLP193 T00610000 10094 20061 58005 (CPS)","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T01:00:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-12","4","","32","43","","","+0.01","8","65","","30.10","28.99","9.94","38","230","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072219 32966 62305 10061 20000 39818 40193 58005 90552 333 10122 21005 555 90106=","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T01:52:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-15","7","30.09","32","43","0.00","","","","65","SCT:04 220 BKN:07 250","30.10","28.99","10.00","38","230","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10501/01/24 01:52:02 METAR KATL 010652Z 23005KT 10SM SCT220 BKN250 06/00 A3009 RMK AO2 SLP192 T00610000 (DB)","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T02:52:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-15","7","30.09","32","42","0.00","","","","68","SCT:04 220 BKN:07 250","30.09","28.99","10.00","38","230","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10501/01/24 02:52:02 METAR KATL 010752Z 23006KT 10SM SCT220 BKN250 06/00 A3009 RMK AO2 SLP190 T00560000 (DB)","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T03:52:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-15","7","30.09","32","42","0.00","","+0.01","6","68","FEW:02 180 BKN:07 220 BKN:07 250","30.09","28.99","10.00","38","240","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11801/01/24 03:52:02 METAR KATL 010852Z 24004KT 10SM FEW180 BKN220 BKN250 06/00 A3009 RMK AO2 SLP190 T00560000 56003 (DB)","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T04:00:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-12","4","","32","42","","","+0.01","6","68","","30.09","28.98","9.94","38","240","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06472219 32966 62404 10056 20000 39815 40190 56003 90852 555 90109=","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T04:52:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-15","7","30.09","32","43","0.00","","","","65","SCT:04 180 BKN:07 220 BKN:07 250","30.09","28.99","10.00","38","250","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11201/01/24 04:52:02 METAR KATL 010952Z 25006KT 10SM SCT180 BKN220 BKN250 06/00 A3009 RMK AO2 SLP190 T00610000 (DB)","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T05:52:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-15","7","30.08","32","41","0.00","","","","70","BKN:07 200 BKN:07 250","30.09","28.98","10.00","37","220","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10501/01/24 05:52:02 METAR KATL 011052Z 22004KT 10SM BKN200 BKN250 05/00 A3008 RMK AO2 SLP190 T00500000 (DB)","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T06:52:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-15","7","30.09","32","40","0.00","","-0.01","3","73","FEW:02 150 SCT:04 200 BKN:07 250","30.10","28.99","10.00","37","270","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET13001/01/24 06:52:02 METAR KATL 011152Z 27005KT 10SM FEW150 SCT200 BKN250 04/00 A3009 RMK AO2 SLP194 T00440000 10067 20039 53002 (DB)","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T07:00:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-12","4","","32","40","","","-0.01","3","73","","30.10","28.98","9.94","37","270","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072219 32966 62705 10044 20000 39815 40194 53002 91152 333 10139 20039 555 90112=","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T07:52:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-15","7","30.11","32","39","0.00","","","","76","FEW:02 150 SCT:04 200 SCT:04 250","30.12","29.01","10.00","36","300","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11201/01/24 07:52:02 METAR KATL 011252Z 30007KT 10SM FEW150 SCT200 SCT250 04/00 A3011 RMK AO2 SLP201 T00390000 (DB)","","","","","","","","","","2007-03-27"
"72219013874","2024-01-01T08:52:00","33.62972","-84.44224","308.2","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","FM-15","7","30.12","33","41","0.00","","","","73","FEW:02 150 SCT:04 200 SCT:04 250","30.14","29.02","10.00","38","320","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11201/01/24 08:52:02 METAR KATL 011352Z 32008KT 10SM FEW150 SCT200 SCT250 05/01 A3012 RMK AO2 SLP205 T00500006 (DB)","","","","","","","","","","2007-03-27"
