airport_code,airport_name,icao_code,noaa_station_id
ABQ,Albuquerque International Sunport,KABQ,72365023050
ANC,Ted Stevens Anchorage International Airport,PANC,70273026451
AUS,Austin-Bergstrom International Airport,KAUS,72254013904
BNA,Nashville International Airport,KBNA,72327013897
BOS,Logan International Airport,KBOS,72509014739
BUF,Buffalo Niagara International Airport,KBUF,72528014733
BUR,Hollywood Burbank Airport,KBUR,72288023152
BWI,Baltimore/Washington International Thurgood Marshall Airport,KBWI,72406093721
CLE,Cleveland Hopkins International Airport,KCLE,72524014820
CLT,Charlotte Douglas International Airport,KCLT,72314013881
CVG,Cincinnati/Northern Kentucky International Airport,KCVG,72421093814
DCA,Ronald Reagan Washington National Airport,KDCA,72405013743
DEN,Denver International Airport,KDEN,72565003017
DFW,Dallas Fort Worth International Airport,KDFW,72259003927
DTW,Detroit Metropolitan Wayne County Airport,KDTW,72537094847
FLL,Fort Lauderdale-Hollywood International Airport,KFLL,74783012849
HNL,Daniel K. Inouye International Airport,PHNL,91182022521
HOU,William P. Hobby Airport,KHOU,72244012918
IAD,Washington Dulles International Airport,KIAD,72403093738
IAH,George Bush Intercontinental Airport,KIAH,72243012960
IND,Indianapolis International Airport,KIND,72438093819
JAX,Jacksonville International Airport,KJAX,72206013889
LAS,Harry Reid International Airport,KLAS,72386023169
LAX,Los Angeles International Airport,KLAX,72295023174
LGB,Long Beach Airport,KLGB,72297023129
MCI,Kansas City International Airport,KMCI,72446003947
MCO,Orlando International Airport,KMCO,72205012815
MIA,Miami International Airport,KMIA,72202012839
MKE,Milwaukee Mitchell International Airport,KMKE,72640014839
MSP,Minneapolis-Saint Paul International Airport,KMSP,72658014922
MSY,Louis Armstrong New Orleans International Airport,KMSY,72231012916
OAK,Oakland San Francisco Bay Airport,KOAK,72493023230
ONT,Ontario International Airport,KONT,74704003102
PBI,Palm Beach International Airport,KPBI,72203012844
PDX,Portland International Airport,KPDX,72698024229
PHL,Philadelphia International Airport,KPHL,72408013739
PHX,Phoenix Sky Harbor International Airport,KPHX,72278023183
PIT,Pittsburgh International Airport,KPIT,72520094823
PSP,Palm Springs International Airport,KPSP,72286893138
RDU,Raleigh-Durham International Airport,KRDU,72306013722
RSW,Southwest Florida International Airport,KRSW,72210812894
SAN,San Diego International Airport,KSAN,72290023188
SAT,San Antonio International Airport,KSAT,72253012921
SDF,Louisville Muhammad Ali International Airport,KSDF,72423093821
SEA,Seattle-Tacoma International Airport,KSEA,72793024233
SFO,San Francisco International Airport,KSFO,72494023234
SJC,Norman Y. Mineta San Jose International Airport,KSJC,72494523293
SJU,Luis Muñoz Marín International Airport,TJSJ,78526011641
SLC,Salt Lake City International Airport,KSLC,72572024127
SMF,Sacramento International Airport,KSMF,72483993225
SNA,John Wayne Airport,KSNA,72297793184
TPA,Tampa International Airport,KTPA,72211012842
JFK,JOHN F KENNEDY INTERNATIONAL AIRPORT,74486094789
ORD,CHICAGO O'HARE INTERNATIONAL AIRPORT,72530094846
ATL,HARTSFIELD-JACKSON ATLANTA INTL AP,72219013874
